"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 14:55:28 GMT 2024","Sat Sep 07 14:55:29 GMT 2024","68","teardown","03-demo-pom-fixture/dependencies-teardown.ts","","","","Clean up",""
"passed","Sat Sep 07 14:54:36 GMT 2024","Sat Sep 07 14:54:42 GMT 2024","5582","setup","03-demo-pom-fixture/dependencies-setup.ts","","","","Dependencies setup",""
"passed","Sat Sep 07 14:54:46 GMT 2024","Sat Sep 07 14:54:54 GMT 2024","7604","chromium","03-demo-pom-fixture/test/demo-fixture.spec.ts","","","","Test case: Demo fixture",""
"passed","Sat Sep 07 14:55:22 GMT 2024","Sat Sep 07 14:55:28 GMT 2024","6344","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product IPHONE 13 PRO",""
"passed","Sat Sep 07 14:54:54 GMT 2024","Sat Sep 07 14:55:02 GMT 2024","8594","chromium","03-demo-pom-fixture/test/demo-pom.spec.ts","","","","Test case: Demo POM",""
"passed","Sat Sep 07 14:55:02 GMT 2024","Sat Sep 07 14:55:09 GMT 2024","6700","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName1",""
"passed","Sat Sep 07 14:54:42 GMT 2024","Sat Sep 07 14:54:46 GMT 2024","3616","chromium","02-demo-setup-teardown/test/demo-setup-teardown.spec.ts","","","","Test case 2: Get all product names",""
"passed","Sat Sep 07 14:55:09 GMT 2024","Sat Sep 07 14:55:15 GMT 2024","6460","chromium","04-demo-dataset-datamapping/test/demo-datamapping.spec.ts","@demo_data_mapping @smoke @regression","","","User login and order product productName3",""
"passed","Sat Sep 07 14:55:15 GMT 2024","Sat Sep 07 14:55:22 GMT 2024","6320","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","@demo_data_set @smoke @regression","","","User login and order product ZARA COAT 3",""
