"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 13:45:36 GMT 2024","Fri Sep 06 13:45:36 GMT 2024","69","teardown","03-demo-pom-fixture/dependencies-teardown.ts","","","","Clean up",""
"passed","Fri Sep 06 13:45:27 GMT 2024","Fri Sep 06 13:45:36 GMT 2024","8573","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","","","","Test case: Demo data set with product IPHONE 13 PRO",""
"passed","Fri Sep 06 13:45:02 GMT 2024","Fri Sep 06 13:45:10 GMT 2024","7892","chromium","03-demo-pom-fixture/test/demo-fixture.spec.ts","","","","Test case: Demo fixture",""
"passed","Fri Sep 06 13:45:19 GMT 2024","Fri Sep 06 13:45:27 GMT 2024","8607","chromium","04-demo-dataset-datamapping/test/demo-dataset.spec.ts","","","","Test case: Demo data set with product ZARA COAT 3",""
"passed","Fri Sep 06 13:44:52 GMT 2024","Fri Sep 06 13:44:58 GMT 2024","5582","setup","03-demo-pom-fixture/dependencies-setup.ts","","","","Dependencies setup",""
"passed","Fri Sep 06 13:44:58 GMT 2024","Fri Sep 06 13:45:02 GMT 2024","3531","chromium","02-demo-setup-teardown/test/demo-setup-teardown.spec.ts","","","","Test case 2: Get all product names",""
"passed","Fri Sep 06 13:45:10 GMT 2024","Fri Sep 06 13:45:19 GMT 2024","8514","chromium","03-demo-pom-fixture/test/demo-pom.spec.ts","","","","Test case: Demo POM",""
